journal;year;url;jel
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.3;O16
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.3;F30
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.3;G15
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.21;F30
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.21;P16
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.21;G15
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.43;G21
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.43;O16
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.65;F32
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.65;O16
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.65;O19
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.85;F34
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.85;O16
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.85;F33
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.105;F13
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.125;E31
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.145;M12
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.169;C61
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.193;Z11
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.193;D12
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.213;H43
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.229;B31
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.229;G13
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.249;A14
Journal of Economic Perspectives;1999;https://www.aeaweb.org/articles?id=10.1257/jep.13.4.249;Z12
