journal;year;url;jel
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.3;F14
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.3;F13
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.21;F13
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.45;O10
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.45;A13
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.45;D72
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.51;O10
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.51;O40
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.71;O10
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.71;D72
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.87;B31
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.87;B41
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.97;L65
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.117;G12
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.135;R11
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.149;R33
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.149;G12
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.167;I21
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.175;B31
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.185;D24
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.193;I22
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.203;A10
Journal of Economic Perspectives;1993;https://www.aeaweb.org/articles?id=10.1257/jep.7.3.209;B41
