journal;year;url;jel
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-9007-6;E27
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-9007-6;N13
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-9007-6;N33
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-9007-6;O14
Journal of Economic Growth;2006;https://link.springer.com/article/10.1007/s10887-006-9007-6;O41
