journal;year;url;jel
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9115-2;O11
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9115-2;O16
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9115-2;E44
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9115-2;G1
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9113-4;O4
Journal of Economic Growth;2015;https://link.springer.com/article/10.1007/s10887-015-9113-4;Oll
