journal;year;url;jel
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9054-x;N33
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9054-x;O15
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9054-x;I20
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9054-x;J13
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9055-9;I2
Journal of Economic Growth;2010;https://link.springer.com/article/10.1007/s10887-010-9055-9;J24
