journal;year;url;jel
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9100-6;I25
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9100-6;N30
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9100-6;N40
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9100-6;O43
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9101-5;O31
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9101-5;O33
Journal of Economic Growth;2014;https://link.springer.com/article/10.1007/s10887-013-9101-5;O34
