journal;year;url;jel
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09211-7;H54
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09211-7;N44
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09211-7;P16
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09211-7;Z1
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09207-3;O33
Journal of Economic Growth;2022;https://link.springer.com/article/10.1007/s10887-022-09207-3;N75
