journal;year;url;jel
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0322-y;D73
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0322-y;O13
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0322-y;H23
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0323-x;H77
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0323-x;K11
Public Choice;2016;https://link.springer.com/article/10.1007/s11127-016-0323-x;N4
