journal;year;url;jel
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0179-0;91A12
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0179-0;91A40
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0179-0;91A80
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0179-0;91B12
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0182-5;C78
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0182-5;D85
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0182-5;H41
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0199-9;C71
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0199-9;D71
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0199-9;H41
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-010-0244-8;C72
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-010-0244-8;D62
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-010-0244-8;D71
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-010-0244-8;H41
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0202-5;C73
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0202-5;C78
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0202-5;D72
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0205-2;C71
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0205-2;C44
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0212-3;C7
International Journal of Game Theory;2010;https://link.springer.com/article/10.1007/s00182-009-0212-3;D7
