journal;year;url;jel
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s001820400196;Matching
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s001820400196;Experiment
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s001820400196;Unraveling
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s001820400196;Hospital-intern markets
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s001820400196;Genetic algorithm
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s00182-005-0202-z;Reactive and semireactive bargaining set
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s00182-005-0202-z;Indivisible goods
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s00182-005-0203-y;auction theory
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s00182-005-0203-y;ascending auctions
International Journal of Game Theory;2005;https://link.springer.com/article/10.1007/s00182-005-0203-y;jump bidding
