journal;year;url;jel
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0098-x;Uniqueness
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0098-x;Correlated equilibrium
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0098-x;Payoff gradient
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0098-x;Strict monotonicity
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0092-3;C72
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0092-3;D82
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0092-3;A13
International Journal of Game Theory;2008;https://link.springer.com/article/10.1007/s00182-007-0097-y;C72
