journal;year;url;jel
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00724-2;C72 (Noncooperative game)
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00716-2;C72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00716-2;C73
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00726-0;D44
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00726-0;J31
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00726-0;D72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00726-0;D82
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00720-6;C71
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00720-6;C72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00720-6;C78
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00720-6;D62
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00720-6;G34
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00711-7;D70
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00711-7;D71
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00711-7;D72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00712-6;C72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00712-6;D71
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00712-6;D78
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00706-4;C72
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00706-4;C73
International Journal of Game Theory;2020;https://link.springer.com/article/10.1007/s00182-020-00706-4;C02
