journal;year;url;jel
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09269-6;C1
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09269-6;C6
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09269-6;D1
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09269-6;D8
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09269-6;M3
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09268-7;M3
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09268-7;03
Quantitative Marketing and Economics;2023;https://link.springer.com/article/10.1007/s11129-023-09268-7;L8
